rowid,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_kepflag,pl_k2flag,kepler,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_eqt,pl_disc,pl_instrument,solarsystemflag
1680,Kepler-192,c,Transit,21.2234,0.15,,,,,0.249,,1,0,1,,14.129,Kepler-band,5479,,1.01,41773,,2014,Kepler CCD Array,0
1411,Kepler-150,d,Transit,12.56093,0.104,,,,,0.249,,1,0,1,,14.985,Kepler-band,5560,,0.94,41773,,2014,Kepler CCD Array,0
2063,Kepler-325,d,Transit,38.715185,0.22,,,,,0.249,,1,0,1,,15.009,Kepler-band,5752,0.87,1,41773,,2014,Kepler CCD Array,0
1820,Kepler-24,e,Transit,18.998355,0.138,,,,,0.248,,1,0,1,1200,14.925,Kepler-band,5897,1.03,1.29,41773,,2014,Kepler CCD Array,0
1853,Kepler-251,c,Transit,16.514043,0.122,,,,,0.247,,1,0,1,,15.223,Kepler-band,5526,0.91,0.89,41773,,2014,Kepler CCD Array,0
1854,Kepler-251,d,Transit,30.133001,0.182,,,,,0.247,,1,0,1,,15.223,Kepler-band,5526,0.91,0.89,41773,,2014,Kepler CCD Array,0
1855,Kepler-251,e,Transit,99.640161,0.404,,,,,0.247,,1,0,1,,15.223,Kepler-band,5526,0.91,0.89,41773,,2014,Kepler CCD Array,0
1626,Kepler-172,e,Transit,35.118736,0.211,,,,,0.246,,1,0,1,,14.532,Kepler-band,5526,0.86,1.08,41773,,2014,Kepler CCD Array,0
1829,Kepler-244,b,Transit,4.311792,0.05,,,,,0.246,,1,0,1,,15.604,Kepler-band,5554,,0.8,41773,,2014,Kepler CCD Array,0
1702,Kepler-20,d,Transit,77.61184,0.3453,0.6,89.57,0.063,Mass,0.245,4.07,1,0,1,290,12.498,Kepler-band,5455,0.91,0.94,41773,369,2011,Kepler CCD Array,0
2006,Kepler-304,d,Transit,9.653471,0.08,,,,,0.245,,1,0,1,,14.84,Kepler-band,4731,0.8,0.69,41773,,2014,Kepler CCD Array,0
1683,Kepler-193,c,Transit,50.697494,0.286,,,,,0.245,,1,0,1,,14.615,Kepler-band,6335,,1.15,41773,,2014,Kepler CCD Array,0
1763,Kepler-221,d,Transit,10.04156,0.087,,,,,0.244,,1,0,1,,13.749,Kepler-band,5243,0.72,0.82,41773,,2014,Kepler CCD Array,0
1679,Kepler-192,b,Transit,9.926746,0.09,,,,,0.244,,1,0,1,,14.129,Kepler-band,5479,,1.01,41773,,2014,Kepler CCD Array,0
